,,,,Preço Referencial,,Preço Menor Lance,,Preço Negociado,,
Item,Descrição Resumida,Unidade de Medida,Qtd.,Unitário,Total,Unitário,Total,Unitário,Total,Resultado
1,"Esponja individual, conforme edital.",unidade,2000,"2,36","4.720,00","1,75","3.500,00","1,75","3.500,00",Vencedor
2,"Esponja dupla-face, conforme edital",unidade,500,"1,04","520,00","0,40","200,00","0,40","200,00",Vencedor
3,"Pano de limpeza multiuso, conforme edital.",Bobina,200,"138,23","27.646,00","64,75","12.950,00","64,75","12.950,00",Vencedor
4,"Refil de sabonete líquido, recipiente com 800ml, neutro, conforme edital.",Refil,300,"14,43","4.329,00","4,00","1.200,00","4,00","1.200,00",Vencedor
5,"Saco alvejado, 100% algodão - fibra natural, formato 75 x 45 cm aproximadamente, peso mínimo de 160 gramas cada unidade, em fardos com 25 ou 50 unidades, conforme edital",unidade,300,"2,60","780,00","1,80","540,00","1,80","540,00",Vencedor
6,"Guardanapo de papel TV, medindo 14cm x 14cm, em fardos com 2.000 unidades, composição celulose com 100% de fibras naturais, conforme edital",Fardo,2000,"6,89","13.780,00","6,00","12.000,00","6,00","12.000,00",Vencedor
7,"Papel alumínio, cor prateada, de boa qualidade e resistência, largura de 45 cm aproximadamente, em rolos de 65 metros cada, conforme edital.",Rolo,300,"22,99","6.897,00","23,00","6.900,00","23,00","6.900,00",Vencedor
8,"Papel toalha, 100% celulose fibra longa (virgem), em papel gofrado, cor branca, largura de 20 cm aproximadamente, espessura de 0,10 e 0,12 mm, em caixas com 6 rolos de 200 metros cada, conforme edital.",Caixa,1200,"61,00","73.200,00","40,00","48.000,00","40,00","48.000,00",Vencedor
9,"Papel toalha interfolhas, tipo triplex com 3 dobras, 100% celulose - fibras naturais, cor branca, medida 23 x 27 cm aproximadamente, em pacotes com 1250 folhas cada, conforme edital.",Pacote,3000,"16,51","49.530,00","10,70","32.100,00","10,70","32.100,00",Vencedor
10,"Detergente alcalino clorado, não iônico, para limpeza de chão e utilizado em máquinas de baixa espumação, em galão de 5 litros, conforme edital",galão,120,"56,85","6.822,00","18,50","2.220,00","18,50","2.220,00",Vencedor
11,"Limpador instantâneo multiuso, aroma suave, composto de tensoativo não iônico biodegradável, sequestrante, alcalizante, corante, perfume e água, embalado em galão contendo 5 litros, conforme edital.",litro,1200,"5,91","7.092,00","1,57","1.884,00","1,57","1.884,00",Vencedor
12,"Sabão em pó biodegradável, aroma suave, com branqueador óptico, princípio ativo alquil benzeno sulfonato de sódio, em pacotes com 5 Kg, conforme edital.",pacote,200,"20,73","4.146,00","11,00","2.200,00","11,00","2.200,00",Vencedor
13,"Sapólio em pó biodegradável, princípio ativo alquil benzeno sulfonato de sódio, em frascos com 300 gramas cada, conforme edital",frasco,240,"3,70","888,00","1,23","295,20","1,23","295,20",Vencedor
14,"Alcool 70GL, líquido, em frascos de 1 litro, embalagem com selo INMETRO, de acordo com a norma ABNT NBR 5991/97 e RDC/ANVISA n° 46, de 20/02/2002, conforme edital.",litro,1500,"3,86","5.790,00","2,80","4.200,00","2,80","4.200,00",Vencedor
15,"Embalagem plástica transparente, em bobina tipo fita contínua, com aproximadamente 40 cm de largura, conforme edital.",Quilo,120,"12,48","1.497,60","20,00","2.400,00","20,00","2.400,00",Vencedor
16,"Saco para lixo domiciliar, composto por resinas termoplásticas, cor preta, 200 litros, medindo aproximadamente 950x1150x0,12 mm, em pacotes contendo 100 unidades, conforme norma NBR vigente, conforme edital.",pacote,200,"107,10","21.420,00","84,00","16.800,00","84,00","16.800,00",Vencedor
17,"Saco para lixo domiciliar, composto por resinas termoplásticas, cor azul, 200 litros, medindo aproximadamente 950x1150x0,10 mm, em pacotes contendo 100 unidades, conforme norma NBR vigente, conforme edital",pacote,200,"106,56","21.312,00","74,80","14.960,00","74,80","14.960,00",Vencedor
18,"Saco para lixo domiciliar, composto por polietileno de alta densidade, cor azul, 40 litros, medindo aproximadamente 600x600x0,08 mm de espessura, em pacotes contendo 100 unidades, conforme norma NBR vigente, conforme edital.",pacote,100,"22,90","2.290,00","22,00","2.200,00","22,00","2.200,00",Vencedor
19,"Saco para lixo domiciliar, composto por resinas termoplásticas, cor preta, 60 litros, medindo aproximadamente 650x800x0,08 mm, em pacotes contendo 100 unidades, conforme norma NBR vigente, conforme edital.",pacote,100,"32,15","3.215,00","27,00","2.700,00","27,00","2.700,00",Vencedor
20,"Saco plástico transparente para embalagem, 100% polietileno atóxico, inodoro, fabricado com matéria prima virgem, medindo aproximadamente 150x350x0,06 mm, conforme edital.",Quilo,80,"13,10","1.048,00","13,00","1.040,00","13,00","1.040,00",Vencedor
21,"Saco plástico transparente para embalagem, 100% polietileno atóxico, inodoro, fabricado com matéria prima virgem, medindo aproximadamente 350x450x0,06 mm, conforme edital.",Quilo,150,"13,10","1.965,00","13,00","1.950,00","13,00","1.950,00",Vencedor
22,"Saco plástico transparente para embalagem, 100% polietileno atóxico, inodoro, fabricado com matéria prima virgem, medindo aproximadamente 500x700x0,06 mm, conforme edital",Quilo,150,"13,10","1.965,00","13,00","1.950,00","13,00","1.950,00",Vencedor
23,"Detergente sanitizante, alcalino, clorado, para máquinas de lavar louça, conforme edital.",Quilo,1280,"66,13","84.646,40","16,80","21.504,00","16,80","21.504,00",Vencedor
24,"Aditivo secante para secagem rápida, líquido, para máquinas de lavar, conforme edital.",litro,1000,"33,31","33.310,00","11,55","11.550,00","11,55","11.550,00",Vencedor
25,"Sanitizante clorado para lavagem de verduras, legumes e frutas, em pó, conforme edital.",Quilo,250,"67,38","16.845,00","10,00","2.500,00","10,00","2.500,00",Vencedor
26,"Removedor desencrustante para uso em fornos combinados, conforme edital.",litro,250,"19,28","4.820,00","11,40","2.850,00","11,40","2.850,00",Vencedor
27,"Luva descartável de vinil transparente, incolor, ambidestra, tamanho P, sem pó bioabsorvível, em caixas com 100 unidades, conforme edital.",Caixa,36,"20,08","722,88","18,50","666,00","18,50","666,00",Vencedor
28,"Luva descartável de vinil transparente, incolor, ambidestra, tamanho M, sem pó bioabsorvível, em caixas com 100 unidades, conforme edital.",Caixa,84,"20,08","1.686,72","18,50","1.554,00","18,50","1.554,00",Vencedor
29,"Luva descartável de vinil transparente, incolor, ambidestra, tamanho G, sem pó bioabsorvível, em caixas com 100 unidades, conforme edital.",Caixa,240,"20,08","4.819,20","18,20","4.368,00","18,20","4.368,00",Vencedor
30,"Luva descartável de vinil transparente, incolor, ambidestra, tamanho XG, sem pó bioabsorvível, em caixas com 100 unidades, conforme edital.",Caixa,120,"21,07","2.528,40","18,20","2.184,00","18,20","2.184,00",Vencedor
31,"Luva descartável de latex, tamanho P, cor leitosa, espessura padrão, para procedimento não cirúrgico, com textura uniforme, sem falhas, ambidestra, anatômica, sem pó bioabsorvível, em caixas com 50 pares, o produto deverá ter certificado do INMETRO, conforme edital.",par,6000,"0,81","4.860,00","0,29","1.740,00","0,29","1.740,00",Vencedor
32,"Luva descartável de latex, tamanho M, cor leitosa, espessura padrão, para procedimento não cirúrgico, com textura uniforme, sem falhas, ambidestra, anatômica, sem pó bioabsorvível, em caixas com 50 pares, o produto deverá ter certificado do INMETRO, conforme edital.",par,9000,"0,81","7.290,00","0,29","2.610,00","0,29","2.610,00",Vencedor
33,"Luva descartável de latex, tamanho G, cor leitosa, espessura padrão, para procedimento não cirúrgico, com textura uniforme, sem falhas, ambidestra, anatômica, sem pó bioabsorvível, em caixas com 50 pares, o produto deverá ter certificado do INMETRO, conforme edital.",par,12000,"0,81","9.720,00","0,29","3.480,00","0,29","3.480,00",Vencedor
34,"Luva de segurança, em latex, anatômica, tamanho M, conforme edital.",par,50,"4,08","204,00","4,66","233,00","4,66","233,00",Vencedor
35,"Luva de segurança, em latex, anatômica, tamanho G, conforme edital.",par,170,"4,08","693,60","4,50","765,00","4,50","765,00",Vencedor
TOTAL,,"432.998,80",,"228.193,20",,"228.193,20",,,,
